Plant_ID,Common_Name_EN,Common_Name_FR,Arabic_Name,Amazigh_Name,Latin_Name,Family,Parts_Used,Preparation_Forms,Traditional_Uses,Culinary_Uses,Ritual_or_Domestic_Uses,Region_In_Morocco,Habitat,Seasonality,Market_Name_or_Form,Taste_Aroma_Profile,Substitutions_or_Confusions,Cautions,Sources_Notes,SVG_Filename
HERB_024,Myrtle,Myrte,ريحان (Rihan),ⵜⴰⵔⵉⵃⴰⵏⵜ (Tarihant),Myrtus communis,Myrtaceae,Leaves; berries,Dried leaves; hydrosol; berries,Leaf infusion traditionally used for respiratory comfort; berries edible,Berries occasionally in dishes,Hydrosol used in households; aromatic,Rif; northern coastal areas,Coastal scrubland; maquis,Year-round leaves; berries in fall,Dried leaves; hydrosol,Aromatic; slightly eucalyptus-like; fresh,Name Rihan sometimes confused with basil,Generally safe in moderate use,Common aromatic shrub in northern Morocco,herb_024_myrtle.svg
HERB_025,Eucalyptus,Eucalyptus,كاليتوس (Kalitus),ⴽⴰⵍⵉⵜⵓⵙ (Kalitus),Eucalyptus globulus,Myrtaceae,Leaves,Dried; steam inhalation; infusion,Traditionally used for respiratory comfort especially in winter; steam inhalation common,Not culinary,Leaves added to steam baths; sick rooms,Introduced; planted widely; Gharb; northern plains,Planted in groves; naturalized,Year-round,Dried leaves; sometimes essential oil,Strong; camphoraceous; clearing,Several Eucalyptus species exist,Not for internal use in large amounts; keep oil away from face of infants and children,Introduced tree now common; leaves widely sold,herb_025_eucalyptus.svg
HERB_026,Argan,Arganier,أركان (Argan),ⴰⵔⴳⴰⵏ (Argan),Argania spinosa,Sapotaceae,Nuts (kernels),Cold-pressed oil,Oil traditionally used topically for skin and hair; culinary oil different preparation,Culinary oil (roasted) for amlou and dipping,Cosmetic oil for hair and skin care,Souss-Massa; Anti-Atlas; endemic,Endemic to southwest Morocco; UNESCO biosphere,Fruit in summer; oil year-round,Culinary oil; cosmetic oil; amlou paste,Culinary: nutty and roasted; Cosmetic: mild and nutty,Cosmetic vs culinary oil are different; adulteration common,Nut allergies possible; ensure oil is authentic,Iconic Moroccan endemic; important culturally and economically,herb_026_argan.svg
HERB_027,Prickly Pear,Figuier de Barbarie,هندية (Hendiya),ⴰⴽⵏⴰⵔⵉ (Aknari),Opuntia ficus-indica,Cactaceae,Fruit; pads; seeds,Fresh fruit; seed oil; pads,Fruit eaten fresh; seed oil used topically for skin,Fruit eaten fresh; pads occasionally cooked,Seed oil for cosmetic use,Widespread; Haouz; Doukkala; everywhere,Naturalized; dry areas; hedges,Summer fruit,Fresh fruit; seed oil,Fruit: sweet and mild; Seeds: oil is very light,Distinguish from ornamental cacti,Handle with care due to small spines (glochids); fruit laxative if eaten excessively,Ubiquitous introduced plant now naturalized,herb_027_prickly_pear.svg
HERB_028,Saffron,Safran,زعفران (Zaafaran),ⵣⴰⵄⴼⵔⴰⵏ (Zaafran),Crocus sativus,Iridaceae,Stigmas,Dried threads; infusion,Traditionally considered strengthening and warming; used for mood,Coloring and flavoring rice; tagines; desserts; tea,Highly valued; associated with special occasions,Taliouine; Taznakht; High Atlas,Cultivated at altitude,November harvest,Dried threads (very expensive),Honey-like; hay-like; slightly bitter; complex,Often adulterated with safflower; turmeric; or dyed threads,Expensive authentic saffron is safe; avoid large quantities during pregnancy,Famous Moroccan product from Taliouine region,herb_028_saffron.svg
HERB_029,Orange Blossom,Fleur d'oranger,زهر (Zhar),ⵜⴰⵣⵀⵔⵜ (Tazhert),Citrus × aurantium,Rutaceae,Flowers,Hydrosol (distilled water); dried,Hydrosol traditionally used for calming and digestive comfort; flavoring,Flavoring for pastries; cookies; beverages; salads,Added to water for guests; used in beauty care,Fes; Marrakech; Gharb; orange-growing regions,Bitter orange trees cultivated,Spring flowering,Hydrosol (maazhar); dried flowers,Intensely floral; sweet; calming,Ensure food-grade hydrosol not perfume quality,Generally safe; hydrosol widely used,Essential flavoring in Moroccan cuisine and hospitality,herb_029_orange_blossom.svg
HERB_030,Rose,Rose,ورد (Ward),ⵜⴰⵡⵔⴷⴰ (Tawrda),Rosa × damascena,Rosaceae,Petals,Dried; hydrosol; infusion,Hydrosol traditionally used for calming and as a gentle tonic; topical for skin,Flavoring desserts; added to some dishes,Hydrosol for face and hospitality; petals at celebrations,Kelaat M'Gouna (Dades Valley); Tinghir,Cultivated in Dades Valley,May harvest (moussem),Dried petals; hydrosol; rose water,Intensely floral; sweet; complex,Quality varies widely; synthetic additives common,Generally safe; ensure authentic product,Important Moroccan product; famous rose festival,herb_030_rose.svg
HERB_031,Geranium,Géranium rosat,عطرشة (Aatarsha),ⵜⴰⵄⴻⵜⵔⵓⵛⵜ (Taatroucht),Pelargonium graveolens,Geraniaceae,Leaves,Fresh; dried; distilled,Traditionally used for calming; aromatic household plant,Not typically culinary in Morocco,Leaves rubbed for scent; pot plant in homes,Marrakech; Fes; urban gardens,Garden plant,Year-round,Fresh leaves; sometimes hydrosol,Rose-like; fresh; green; slightly minty,Scented geranium vs common geranium,Generally safe for topical and aromatic use,Popular aromatic garden plant,herb_031_geranium.svg
HERB_032,Clove,Clou de girofle,قرنفل (Qronfel),ⵇⵔⵓⵏⴼⵍ (Qronfl),Syzygium aromaticum,Myrtaceae,Flower buds,Whole; ground,Traditionally used for oral discomfort (chewed); warming preparation,In desserts; tagines; spice blends,Chewed for mouth freshness; warming winter preparations,Imported,Tropical; imported,Year-round,Whole dried buds; ground,Intensely warm; slightly numbing; aromatic,Authentic vs old stale cloves (should be oily),Generally safe in culinary use; clove oil can burn mucous membranes; avoid large amounts,Common imported spice in Moroccan pantries,herb_032_clove.svg
HERB_033,Cardamom,Cardamome,قعقولة (Qaaqoula),ⵇⴰⵄⵇⵓⵍⴰ (Qaaqula),Elettaria cardamomum,Zingiberaceae,Pods; seeds,Whole pods; ground,Used in warming preparations,In tea; coffee; some desserts; part of spice blends,Added to coffee for hospitality,Imported,Tropical; imported,Year-round,Whole green pods; ground,Floral; citrusy; warm; complex,Green vs black cardamom are different,Generally safe in culinary use,Valued spice though imported,herb_033_cardamom.svg
HERB_034,Bay Leaf,Laurier,ورقة سيدنا موسى (Warqa Sidna Moussa),ⵜⴰⵡⵔⵉⵇⵜ ⵏ ⵙⵉⴷⵏⴰ ⵎⵓⵙⴰ,Laurus nobilis,Lauraceae,Leaves,Dried,Not traditionally prominent in Moroccan herbal practice; mainly culinary,Added to some tagines and stews,Leaves sometimes kept in storage areas,Imported; some cultivation,Mediterranean; some local cultivation,Year-round,Dried leaves,Aromatic; slightly bitter; herbal,California bay vs true bay laurel,Remove from dishes before serving; old leaves lose aroma,Used in cooking; less prominent than in European cuisine,herb_034_bay_leaf.svg
HERB_035,Black Pepper,Poivre noir,إبزار (Lebzar),ⵉⴱⵣⴰⵔ (Ibzar),Piper nigrum,Piperaceae,Dried fruit,Whole; ground,Considered warming in traditional practice,Essential seasoning in almost all savory dishes,Ground fresh at table,Imported,Tropical vine; imported,Year-round,Whole peppercorns; ground,Sharp; pungent; warm; biting,White and green pepper are same plant different processing,Generally safe; may irritate in very large amounts,Foundational spice in Moroccan cooking,herb_035_black_pepper.svg
HERB_036,Sesame,Sésame,جنجلان (Jenjlan),ⵊⴻⵏⵊⵍⴰⵏ (Jenjlan),Sesamum indicum,Pedaliaceae,Seeds,Whole; ground; oil,Seeds traditionally considered nourishing and strengthening,On breads; in pastries; tahini; oil for cooking,Seeds in festive breads and celebrations,Some local cultivation; imported,Cultivated; also imported,Year-round,Whole seeds (white and black); oil,Nutty; rich; mild,White vs black sesame (black more intense),Sesame allergy exists; oil can go rancid,Common ingredient in Moroccan baking,herb_036_sesame.svg
HERB_037,Olive,Olivier,زيتون (Zitoun),ⵜⴰⵣⵉⵜⵓⵏⵜ (Tazitount),Olea europaea,Oleaceae,Fruit; leaves; oil,Pressed oil; cured olives; leaf infusion,Leaf infusion traditionally used for general wellness; oil applied topically,Central to Moroccan cuisine; oil and table olives,Olive oil for cooking; lamps; soap making,Meknes; Fes; Marrakech plains; widespread,Cultivated widely; ancient groves,Fall harvest,Table olives; extra virgin oil; refined oil,Oil: fruity and peppery; Olives: briny and rich,Many local varieties exist,Generally safe; fresh oil best quality,One of the most important Moroccan agricultural products,herb_037_olive.svg
HERB_038,Aloe Vera,Aloès,صبار (Sabbar),ⵜⴰⵙⴻⴱⴱⴰⵔⵜ (Tasebbart),Aloe vera,Asphodelaceae,Leaves (gel),Fresh gel,Gel traditionally applied topically for skin comfort and minor irritations,Not culinary,Household plant for burns and skin care,Cultivated; Souss; coastal areas,Garden plant; naturalized in south,Year-round,Fresh leaves; commercial gel,Gel is cooling and slightly bitter,Aloe vera vs Aloe ferox vs other aloes,Gel generally safe topically; latex (yellow layer) is a strong laxative—avoid internal use; may cause skin sensitivity in some,Common household plant for topical use,herb_038_aloe.svg
HERB_039,Harmel,Harmel,حرمل (Harmel),ⴰⵃⴻⵔⵎⴰⵍ (Ahermal),Peganum harmala,Nitrariaceae,Seeds,Dried seeds; fumigation,Traditionally used ONLY for fumigation and ritual purposes; NOT for ingestion,NOT culinary,Burned for protective fumigation; smoke for households,Widespread in arid areas,Dry waste ground; roadsides; desert edges,Seeds in late summer,Dried seeds,Acrid; unpleasant smoke,Distinctive appearance,EXTREMELY TOXIC: Contains harmine and harmaline; causes hallucinations; seizures; potentially fatal; NEVER ingest; NEVER during pregnancy; only for fumigation outdoors,Used strictly for ritual fumigation; dangerous if misused,herb_039_harmel.svg
HERB_040,Khella,Khella,خلة (Khella),ⵜⴰⵅⴻⵍⵍⴰ (Takhella),Ammi visnaga,Apiaceae,Seeds; flower heads,Dried seeds,Traditionally associated with urinary and respiratory comfort in folk practice,Not culinary,Historical use in traditional practice,Gharb; northern plains,Fields; waste ground,Summer,Dried flower heads and seeds,Slightly bitter; aromatic,May be confused with other Apiaceae,Use only under knowledgeable guidance; may interact with heart medications; causes photosensitivity,Traditional plant with specific historical uses,herb_040_khella.svg
HERB_041,Carob,Caroubier,خروب (Kharoub),ⵜⵉⵅⴻⵔⵔⵓⴱⵜ (Tikherroubt),Ceratonia siliqua,Fabaceae,Pods; seeds,Dried pods; powder; molasses,Pods traditionally used as a nourishing food; associated with digestive comfort,Eaten as snack; powder as chocolate substitute; molasses as sweetener,Given to children; sold at markets,Rif; Middle Atlas; northern Morocco,Dry hillsides; cultivated,Fall harvest,Dried pods; powder; molasses,Sweet; chocolate-like; slightly nutty,Sometimes mixed with chocolate powder,Generally safe; high in natural sugars,Traditional food and sweetener,herb_041_carob.svg
HERB_042,Jujube,Jujube,النبق (Nbeg),ⴰⵣⴳⴳⵯⴰⵔ (Azegwar),Ziziphus jujuba,Rhamnaceae,Fruit,Fresh; dried,Dried fruit traditionally considered nourishing and calming,Eaten as snack; in some preparations,Given to children; associated with strength,Gharb; Tadla; oases,Cultivated in hot areas,Fall harvest,Fresh or dried fruit,Sweet; date-like when dried,Similar to Chinese jujube,Generally safe; high sugar content,Traditional fruit with cultural importance,herb_042_jujube.svg
HERB_043,Date,Dattier,تمر (Tmar),ⵜⴰⵢⵏⵉⵜ (Tayniyt),Phoenix dactylifera,Arecaceae,Fruit,Fresh; dried,Considered nourishing and energizing in traditional practice,Eaten alone; in desserts; with milk; stuffed,Central to hospitality; religious occasions; breaking fast,Tafilalet; Draa; Zagora; oases,Oasis cultivation,Fall harvest,Fresh dates; dried dates; date paste,Intensely sweet; caramel-like; rich,Many varieties with different qualities,Generally safe; very high sugar,Central to Moroccan oasis culture and hospitality,herb_043_date.svg
HERB_044,Fig,Figuier,كرموس (Karmous),ⵜⴰⵣⴰⵔⵜ (Tazart),Ficus carica,Moraceae,Fruit,Fresh; dried,Traditionally considered nourishing; dried figs for digestive comfort,Eaten fresh or dried; in tagines,Dried figs kept as staple food,Widespread; Chefchaouen; Taounate; Ouazzane,Cultivated widely,Summer fresh; dried year-round,Fresh figs; dried figs,Sweet; jammy; seedy,Many varieties from green to purple,Generally safe; latex from unripe figs can irritate skin,Ancient cultivated fruit in Morocco,herb_044_fig.svg
HERB_045,Pomegranate,Grenadier,رمان (Rommane),ⵜⴰⵔⵓⵎⵎⴰⵏⵜ (Tarummant),Punica granatum,Lythraceae,Fruit; bark; flowers,Fresh fruit; juice; dried peel,Peel traditionally used as astringent; fruit considered strengthening,Eaten fresh; juice; in salads,Symbolic fruit; associated with blessings,Fes; Meknes; Marrakech,Cultivated in gardens and orchards,Fall harvest,Fresh fruit; dried peel; juice,Sweet-tart; complex; seedy,Many varieties from sweet to sour,Generally safe; bark preparations only under guidance,Important fruit in Moroccan gardens and symbolism,herb_045_pomegranate.svg
HERB_046,Cassia,Casse,سنا (Sana),ⵜⴰⵙⴰⵏⵏⴰ (Tasanna),Senna alexandrina,Fabaceae,Leaves; pods,Dried leaves; pods,Traditionally known as a strong laxative preparation,Not culinary,Used specifically for constipation,Imported; some in southern regions,Dry areas; imported,Year-round,Dried leaves and pods,Bitter; unpleasant,Different from cinnamon cassia,STRONG LAXATIVE: Not for regular use; causes dependency; cramping; electrolyte imbalance; avoid during pregnancy; not for children; short-term only,Powerful laxative; not for casual use,herb_046_cassia_senna.svg
HERB_047,Mastic,Mastic,مسكة (Mska),ⵜⵉⵎⴻⵙⴽⴰ (Timeska),Pistacia lentiscus,Anacardiaceae,Resin,Resin tears; powder,Traditionally chewed for oral freshness; used in preparations,Added to some pastries and drinks,Chewed as gum; in incense,Imported (from Greece); local shrub exists,Mediterranean maquis; imported resin,Year-round,Resin tears (small white pieces),Piney; fresh; slightly bitter initially then sweet,Moroccan shrub vs Greek mastic resin,Generally safe; expensive authentic mastic,Valued aromatic resin in traditional use,herb_047_mastic.svg
HERB_048,Smen,Smen (Aged Butter),سمن (Smen),ⵓⴷⵉ (Oudi),N/A (aged butter),N/A,Aged clarified butter,Aged; preserved,Traditionally considered nourishing and strengthening; given during recovery,Flavoring couscous; tagines; special dishes,Given to new mothers; elderly; those recovering,Made throughout Morocco,Made from butter,Year-round; aged months to years,Preserved butter in jars,Pungent; cheesy; complex; acquired taste,Fresh butter vs smen are very different,High in fat; aged products develop strong flavor,Traditional preserved food with cultural significance,herb_048_smen.svg
HERB_049,Honey,Miel,عسل (Asal),ⵜⴰⵎⴻⵎⵜ (Tamemt),N/A (bee product),N/A,Honey,Raw; processed,Traditionally used for general strengthening; throat comfort; wound care,Sweetener; in pastries; with bread,Central to hospitality and wellness,Ida Outanane; Souss; Rif; widespread,Beekeeping throughout Morocco,Year-round,Raw honey; various floral sources,Varies by floral source; sweet; complex,Eucalyptus; thyme; wild flower; orange blossom types,Not for infants under 1 year (botulism risk); check for adulteration,Important traditional product with many regional varieties,herb_049_honey.svg
HERB_050,Wormwood (Artemisia herba-alba),Armoise blanche,شيح (Chih),ⵉⵣⵔⵉ (Izri),Artemisia herba-alba,Asteraceae,Leaves,Dried; infusion; fumigation,Traditionally used for digestive comfort; as a bitter preparation; fumigation,Not culinary; very bitter,Burned for fumigation; in some regional practices,High Atlas; Anti-Atlas; southern steppes,Dry steppe and semi-desert,Spring and summer,Dried bundles,Intensely bitter; aromatic; camphoraceous,Different from Artemisia absinthium (shiba); both bitter but this is milder,Avoid during pregnancy; not for prolonged use; bitter herbs require moderation,Important steppe plant; different from shiba but related uses,herb_050_artemisia.svg
